Student_ID,Date,Time,Subject,Location,Device_ID,Latitude,Longitude,Attendance_Status,Actual_Label
STU0838,2026-04-11,14:00:00,English,Room_English,DEV_PROXY_16,30.500413378249856,78.00057077437421,Present,Proxy
STU0937,2026-04-12,14:02:00,Math,Room_Math,DEV_PROXY_13,30.49893805456702,78.00081889895786,Present,Proxy
STU0215,2026-04-21,12:01:00,Chemistry,Room_Chemistry,DEV_PROXY_6,30.501539654338394,78.00020139546793,Present,Proxy
STU0086,2026-04-27,14:01:00,History,Room_History,DEV_PROXY_2,30.501296223275478,77.99871677777435,Present,Proxy
STU0910,2026-04-14,11:02:00,Science,Room_Science,DEV_PROXY_6,30.500513357475725,77.99887942234538,Present,Proxy
STU0517,2026-04-01,11:00:00,Math,Room_Math,DEV_PROXY_16,30.500857593146293,77.99922128532637,Present,Proxy
STU0981,2026-04-23,11:02:00,Math,Room_Math,DEV_PROXY_16,30.501139788088853,78.00020474209543,Present,Proxy
STU0855,2026-04-03,15:01:00,Chemistry,Room_Chemistry,DEV_PROXY_2,30.500124354225612,78.00079811309483,Present,Proxy
STU1462,2026-04-19,09:00:00,DBMS,Room_DBMS,DEV_PROXY_19,30.50021369885188,78.00019599932409,Present,Proxy
STU0114,2026-04-07,11:01:00,Chemistry,Room_Chemistry,DEV_PROXY_2,30.50028093691216,78.00061115279641,Present,Proxy
STU0546,2026-04-08,11:00:00,DBMS,Room_DBMS,DEV_PROXY_11,30.502198865491984,78.0018465642441,Present,Proxy
STU0178,2026-04-13,09:01:00,DBMS,Room_DBMS,DEV_PROXY_13,30.5000607696678,78.0002811437877,Present,Proxy
STU0331,2026-04-07,11:02:00,ML,Room_ML,DEV_PROXY_3,30.50086332789615,77.9987561128098,Present,Proxy
STU0404,2026-04-11,15:00:00,CN,Room_CN,DEV_PROXY_10,30.499104556788016,78.00204297818158,Present,Proxy
STU1213,2026-04-17,15:02:00,CN,Room_CN,DEV_PROXY_3,30.501737831857714,77.99926099372576,Present,Proxy
STU0829,2026-04-23,09:02:00,Python,Room_Python,DEV_PROXY_10,30.499261962039515,78.0007087606622,Present,Proxy
STU0493,2026-04-04,12:01:00,ML,Room_ML,DEV_PROXY_18,30.499506354771977,77.99841634747892,Present,Proxy
STU0397,2026-04-30,10:00:00,CS,Room_CS,DEV_PROXY_6,30.500384073696132,78.0006750641819,Present,Proxy
STU0569,2026-04-09,12:02:00,Math,Room_Math,DEV_PROXY_18,30.49960291385833,77.99927331849463,Present,Proxy
STU0366,2026-04-25,10:00:00,Math,Room_Math,DEV_PROXY_15,30.498385431789632,78.00142297374133,Present,Proxy
STU0477,2026-04-07,15:02:00,Physics,Room_Physics,DEV_PROXY_20,30.49863150313743,78.00070548974549,Present,Proxy
STU0277,2026-04-08,10:02:00,Science,Room_Science,DEV_PROXY_18,30.49823558882459,77.99833782820858,Present,Proxy
STU1367,2026-04-16,12:00:00,English,Room_English,DEV_PROXY_16,30.49961741294171,78.00031419094601,Present,Proxy
STU0196,2026-04-26,09:02:00,Math,Room_Math,DEV_PROXY_4,30.49931438751975,78.00126004345597,Present,Proxy
STU0090,2026-04-20,11:02:00,CN,Room_CN,DEV_PROXY_10,30.49971402740465,77.99968790867192,Present,Proxy
STU0153,2026-04-22,11:00:00,Math,Room_Math,DEV_PROXY_19,30.498960395898553,77.99921470565003,Present,Proxy
STU0063,2026-04-02,11:01:00,English,Room_English,DEV_PROXY_15,30.50067495173281,77.99849236805576,Present,Proxy
STU0108,2026-04-15,15:00:00,Physics,Room_Physics,DEV_PROXY_7,30.499180282185428,78.00119718420771,Present,Proxy
STU1205,2026-04-12,15:00:00,Math,Room_Math,DEV_PROXY_17,30.499362745339063,77.99946377156165,Present,Proxy
STU0241,2026-04-30,10:00:00,History,Room_History,DEV_PROXY_20,30.50000789027882,77.99968692911163,Present,Proxy
STU0679,2026-04-27,11:00:00,Biology,Room_Biology,DEV_PROXY_19,30.498966185177913,77.99791398078571,Present,Proxy
STU1197,2026-04-04,15:01:00,Biology,Room_Biology,DEV_PROXY_14,30.499851043875257,77.9999146726817,Present,Proxy
STU0571,2026-04-06,12:01:00,Physics,Room_Physics,DEV_PROXY_14,30.501392068288006,77.99932272066661,Present,Proxy
STU0456,2026-04-14,14:02:00,DBMS,Room_DBMS,DEV_PROXY_6,30.50023884918393,77.9999405103781,Present,Proxy
STU1078,2026-04-29,15:00:00,CN,Room_CN,DEV_PROXY_6,30.49926991349773,77.9999402989356,Present,Proxy
STU0566,2026-04-27,10:00:00,ML,Room_ML,DEV_PROXY_19,30.500746931846923,77.99755405812303,Present,Proxy
STU1171,2026-04-08,14:00:00,ML,Room_ML,DEV_PROXY_15,30.49968458701222,77.99991846899609,Present,Proxy
STU0434,2026-04-24,12:02:00,CS,Room_CS,DEV_PROXY_13,30.499583695774085,78.00011109791265,Present,Proxy
STU1480,2026-04-22,09:01:00,Science,Room_Science,DEV_PROXY_14,30.49941305856991,78.00044442007345,Present,Proxy
STU0249,2026-04-06,14:02:00,Science,Room_Science,DEV_PROXY_15,30.498754934315894,77.99892662686351,Present,Proxy
STU0129,2026-04-13,10:00:00,Biology,Room_Biology,DEV_PROXY_9,30.498835575122055,77.99976044409442,Present,Proxy
STU0695,2026-04-12,12:00:00,Science,Room_Science,DEV_PROXY_6,30.49831510745087,77.99888920128016,Present,Proxy
STU0041,2026-04-10,14:01:00,English,Room_English,DEV_PROXY_14,30.50033532079502,78.00030747156401,Present,Proxy
STU0520,2026-04-07,12:02:00,CN,Room_CN,DEV_PROXY_11,30.499929478976103,77.99889047135876,Present,Proxy
STU0210,2026-04-21,14:01:00,Biology,Room_Biology,DEV_PROXY_15,30.499590602762744,78.00035997712425,Present,Proxy
STU0589,2026-04-10,15:01:00,History,Room_History,DEV_PROXY_20,30.499993802722518,77.99774379003227,Present,Proxy
STU1082,2026-04-21,11:02:00,CS,Room_CS,DEV_PROXY_3,30.500624167743755,78.00036722039121,Present,Proxy
STU0748,2026-04-08,09:02:00,DBMS,Room_DBMS,DEV_PROXY_16,30.501365495185432,78.00081241743486,Present,Proxy
STU1002,2026-04-13,14:00:00,Physics,Room_Physics,DEV_PROXY_12,30.500267990581527,78.0000808735576,Present,Proxy
STU1166,2026-04-09,11:00:00,Python,Room_Python,DEV_PROXY_1,30.49884569105875,77.99992817660554,Present,Proxy
STU1264,2026-04-25,10:01:00,English,Room_English,DEV_PROXY_1,30.49929542718979,78.00079970703713,Present,Proxy
STU0534,2026-04-10,12:01:00,Science,Room_Science,DEV_PROXY_1,30.499312035886238,77.9997561847523,Present,Proxy
STU1080,2026-04-10,12:01:00,History,Room_History,DEV_PROXY_19,30.499943105583515,77.99782641892607,Present,Proxy
STU0446,2026-04-22,11:01:00,Physics,Room_Physics,DEV_PROXY_6,30.498521367013613,77.99913605528471,Present,Proxy
STU0852,2026-04-19,09:02:00,ML,Room_ML,DEV_PROXY_16,30.500821336573722,77.99886106096866,Present,Proxy
STU1162,2026-04-03,11:02:00,CS,Room_CS,DEV_PROXY_12,30.49839914501643,77.99982966905009,Present,Proxy
STU0528,2026-04-02,11:01:00,Science,Room_Science,DEV_PROXY_9,30.50015209751098,77.99897927808996,Present,Proxy
STU1180,2026-04-01,15:01:00,Physics,Room_Physics,DEV_PROXY_19,30.500097115481918,77.99882924226345,Present,Proxy
STU0134,2026-04-09,12:01:00,CS,Room_CS,DEV_PROXY_2,30.49968497774992,77.9991886099137,Present,Proxy
STU1127,2026-04-24,11:01:00,Chemistry,Room_Chemistry,DEV_PROXY_14,30.50002428343838,77.99965214896028,Present,Proxy
STU1462,2026-04-10,15:02:00,DBMS,Room_DBMS,DEV_PROXY_18,30.501307635774637,77.99883026642455,Present,Proxy
STU1098,2026-04-15,10:02:00,CS,Room_CS,DEV_PROXY_7,30.49901247959146,77.99909735434028,Present,Proxy
STU1077,2026-04-07,12:01:00,Python,Room_Python,DEV_PROXY_9,30.49974920931852,78.00079590161604,Present,Proxy
STU0045,2026-04-09,11:02:00,CN,Room_CN,DEV_PROXY_13,30.500440170639553,77.99891493215624,Present,Proxy
STU0759,2026-04-08,09:02:00,Physics,Room_Physics,DEV_PROXY_16,30.499037079434075,78.00004523420056,Present,Proxy
STU0979,2026-04-22,12:02:00,DBMS,Room_DBMS,DEV_PROXY_17,30.50012559424142,78.00021320908542,Present,Proxy
STU0070,2026-04-03,10:01:00,Biology,Room_Biology,DEV_PROXY_1,30.498985290863484,78.00020887656615,Present,Proxy
STU0593,2026-04-05,10:01:00,Science,Room_Science,DEV_PROXY_20,30.498342468883028,77.9995175963513,Present,Proxy
STU1453,2026-04-05,11:00:00,Chemistry,Room_Chemistry,DEV_PROXY_18,30.499038660296524,78.00017037511765,Present,Proxy
STU0324,2026-04-06,12:00:00,Science,Room_Science,DEV_PROXY_18,30.49943338091694,78.0010225662958,Present,Proxy
STU0399,2026-04-29,09:02:00,Science,Room_Science,DEV_PROXY_2,30.50142555930929,78.00026330658609,Present,Proxy
STU0725,2026-04-26,09:01:00,CS,Room_CS,DEV_PROXY_18,30.500220193198032,77.99947117169486,Present,Proxy
STU0491,2026-04-02,15:01:00,Math,Room_Math,DEV_PROXY_11,30.498890791792963,78.00217940301663,Present,Proxy
STU0105,2026-04-14,09:00:00,ML,Room_ML,DEV_PROXY_4,30.50107797941209,78.00110613500493,Present,Proxy
STU1329,2026-04-04,15:02:00,Chemistry,Room_Chemistry,DEV_PROXY_1,30.50044421087528,78.00067767366525,Present,Proxy
STU0362,2026-04-08,15:00:00,Python,Room_Python,DEV_PROXY_13,30.49886965753702,77.99961879093127,Present,Proxy
STU0244,2026-04-16,11:00:00,CN,Room_CN,DEV_PROXY_2,30.500032390194193,78.00006396060266,Present,Proxy
STU1250,2026-04-11,14:02:00,Science,Room_Science,DEV_PROXY_6,30.50135000286748,77.99941702730847,Present,Proxy
